Sample ID:	C:\MCC\MCC Cal\Test\PMMA_R03_MCC_30K_min_211015_R1.txt
Sample Weight (mg):	4.61
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	109.718	79.993	19.997	102.702	20.036	0.140	0.008
0.500	109.740	79.992	19.996	102.701	20.041	-0.205	0.024
1.000	109.741	79.992	19.997	102.700	20.035	0.174	0.032
1.500	109.707	79.993	19.996	102.699	20.039	-0.085	-0.005
2.000	109.722	79.992	19.996	102.700	20.039	-0.066	-0.026
2.500	109.731	79.992	19.996	102.700	20.035	0.163	0.003
3.000	109.704	79.993	19.996	102.701	20.032	0.402	0.003
3.500	109.721	79.994	19.996	102.702	20.038	-0.042	-0.014
4.000	109.699	79.991	19.996	102.702	20.037	0.070	-0.008
4.500	109.739	79.993	19.995	102.702	20.037	0.053	0.007
5.000	109.690	79.993	19.995	102.702	20.038	-0.046	0.005
5.500	109.707	79.992	19.996	102.703	20.035	0.199	-0.021
6.000	109.740	79.992	19.996	102.703	20.038	0.021	0.009
6.500	109.737	79.994	19.995	102.703	20.034	0.235	0.040
7.000	109.714	79.992	19.995	102.703	20.034	0.273	0.002
7.500	109.727	79.994	19.996	102.703	20.036	0.133	-0.018
8.000	109.721	79.993	19.996	102.704	20.036	0.159	-0.001
8.500	109.725	79.992	19.994	102.705	20.035	0.175	0.002
9.000	109.706	79.993	19.995	102.705	20.037	0.068	-0.008
9.500	109.699	79.994	19.995	102.705	20.037	0.049	-0.020
10.000	109.686	79.994	19.996	102.706	20.035	0.184	-0.023
10.501	109.682	79.994	19.995	102.705	20.036	0.118	-0.019
11.001	109.677	79.992	19.996	102.706	20.037	0.036	-0.013
11.500	109.664	79.994	19.996	102.706	20.035	0.224	-0.013
12.000	109.667	79.993	19.995	102.711	20.034	0.245	-0.014
12.500	109.679	79.994	19.995	102.718	20.035	0.173	0.002
13.000	109.674	79.994	19.996	102.725	20.034	0.285	0.011
13.500	109.688	79.993	19.996	102.732	20.036	0.156	0.009
14.000	109.682	79.993	19.995	102.739	20.030	0.513	0.008
14.500	109.707	79.995	19.994	102.742	20.035	0.213	0.013
15.000	109.743	79.994	19.995	102.742	20.031	0.498	0.040
15.500	109.708	79.994	19.996	102.743	20.030	0.543	0.031
16.000	109.725	79.993	19.996	102.747	20.027	0.718	-0.009
16.500	109.687	79.995	19.996	102.755	20.028	0.710	-0.020
17.000	109.690	79.994	19.995	102.762	20.027	0.764	-0.028
17.500	109.688	79.996	19.994	102.772	20.027	0.750	-0.017
18.000	109.719	79.994	19.996	102.784	20.025	0.864	0.015
18.500	109.721	79.996	19.994	102.795	20.021	1.144	0.031
19.000	109.739	79.995	19.995	102.804	20.019	1.318	0.027
19.500	109.724	79.996	19.996	102.818	20.021	1.151	0.011
20.000	109.753	79.996	19.995	102.829	20.018	1.353	0.008
20.500	109.757	79.996	19.994	102.837	20.019	1.326	0.024
21.000	109.773	79.996	19.996	102.843	20.014	1.624	0.027
21.500	109.809	79.995	19.995	102.849	20.017	1.478	0.036
22.000	109.821	79.993	19.995	102.852	20.019	1.341	0.050
22.500	109.845	79.995	19.996	102.860	20.015	1.564	0.042
23.000	109.873	79.996	19.995	102.866	20.016	1.518	0.044
23.500	109.889	79.996	19.995	102.869	20.013	1.716	0.048
24.000	109.918	79.996	19.995	102.870	20.011	1.891	0.044
24.500	109.969	79.995	19.995	102.868	20.011	1.856	0.063
25.000	109.986	79.994	19.995	102.865	20.010	1.929	0.074
25.500	110.033	79.996	19.995	102.867	20.008	2.071	0.066
26.000	110.066	79.994	19.996	102.869	20.010	1.959	0.072
26.500	110.115	79.995	19.996	102.874	20.007	2.132	0.081
27.000	110.113	79.995	19.995	102.875	20.008	2.062	0.064
27.500	110.226	79.995	19.996	102.875	20.009	2.016	0.079
28.000	110.232	79.995	19.995	102.874	20.007	2.147	0.115
28.500	110.277	79.995	19.995	102.870	20.007	2.121	0.085
29.000	110.331	79.994	19.995	102.866	20.008	2.052	0.075
29.500	110.403	79.995	19.995	102.871	20.005	2.297	0.112
30.000	110.428	79.995	19.996	102.873	20.008	2.109	0.112
30.500	110.456	79.995	19.995	102.873	20.005	2.267	0.076
31.000	110.526	79.994	19.995	102.877	20.005	2.279	0.076
31.500	110.625	79.995	19.995	102.882	20.006	2.222	0.133
32.000	110.655	79.995	19.995	102.884	20.004	2.344	0.149
32.500	110.686	79.994	19.995	102.889	20.004	2.340	0.095
33.000	110.782	79.995	19.995	102.895	20.001	2.551	0.094
33.500	110.820	79.995	19.996	102.900	20.000	2.602	0.131
34.000	110.902	79.996	19.996	102.902	20.003	2.440	0.127
34.500	110.964	79.996	19.996	102.903	20.003	2.429	0.132
35.000	111.071	79.995	19.995	102.903	20.001	2.556	0.156
35.500	111.131	79.995	19.996	102.902	20.003	2.459	0.168
36.000	111.233	79.995	19.995	102.903	20.002	2.491	0.165
36.500	111.286	79.994	19.996	102.909	20.002	2.471	0.159
37.000	111.361	79.995	19.995	102.912	20.002	2.499	0.141
37.500	111.422	79.994	19.995	102.913	20.002	2.507	0.132
38.000	111.499	79.995	19.995	102.913	20.000	2.665	0.137
38.500	111.600	79.994	19.996	102.912	19.998	2.806	0.159
39.000	111.656	79.995	19.995	102.906	19.999	2.711	0.168
39.500	111.721	79.996	19.995	102.903	19.999	2.737	0.139
40.000	111.808	79.995	19.995	102.902	19.999	2.733	0.137
40.500	111.888	79.996	19.994	102.903	20.002	2.511	0.159
41.000	112.005	79.996	19.996	102.910	19.997	2.848	0.182
41.500	112.063	79.996	19.996	102.917	20.000	2.637	0.186
42.001	112.136	79.997	19.996	102.921	19.999	2.705	0.153
42.501	112.251	79.996	19.996	102.925	19.999	2.734	0.160
43.000	112.375	79.996	19.994	102.930	20.000	2.654	0.213
43.500	112.444	79.997	19.995	102.926	19.997	2.819	0.216
44.000	112.566	79.997	19.994	102.924	19.996	2.920	0.192
44.500	112.615	79.996	19.994	102.926	19.996	2.886	0.181
45.000	112.689	79.997	19.994	102.924	19.994	3.057	0.147
45.500	112.833	79.996	19.995	102.919	19.996	2.922	0.170
46.000	112.924	79.998	19.995	102.917	19.998	2.806	0.227
46.500	113.042	79.996	19.993	102.916	19.995	2.954	0.222
47.000	113.142	79.996	19.995	102.913	19.996	2.903	0.213
47.500	113.248	79.996	19.995	102.918	19.993	3.116	0.212
48.000	113.319	79.995	19.995	102.925	19.998	2.791	0.192
48.500	113.436	79.997	19.993	102.931	19.996	2.935	0.183
49.000	113.538	79.995	19.995	102.933	19.994	3.019	0.204
49.500	113.678	79.995	19.994	102.936	19.992	3.215	0.230
50.000	113.758	79.995	19.995	102.937	19.992	3.201	0.230
50.500	113.921	79.996	19.995	102.937	19.992	3.173	0.232
51.000	114.014	79.995	19.995	102.938	19.991	3.232	0.250
51.500	114.127	79.994	19.995	102.940	19.993	3.104	0.231
52.000	114.224	79.994	19.994	102.941	19.991	3.291	0.208
52.500	114.324	79.992	19.996	102.942	19.991	3.264	0.204
53.000	114.462	79.994	19.996	102.942	19.990	3.323	0.217
53.500	114.558	79.994	19.996	102.942	19.991	3.228	0.236
54.000	114.682	79.994	19.995	102.942	19.988	3.449	0.227
54.500	114.827	79.993	19.996	102.945	19.993	3.137	0.245
55.000	114.949	79.995	19.996	102.945	19.993	3.151	0.268
55.500	115.094	79.993	19.996	102.944	19.992	3.170	0.267
56.000	115.226	79.993	19.996	102.944	19.993	3.107	0.272
56.500	115.364	79.996	19.995	102.944	19.990	3.322	0.273
57.000	115.489	79.995	19.996	102.941	19.992	3.202	0.267
57.500	115.612	79.993	19.996	102.941	19.989	3.377	0.256
58.000	115.715	79.994	19.996	102.943	19.990	3.297	0.237
58.501	115.848	79.994	19.996	102.944	19.991	3.240	0.231
59.001	115.965	79.993	19.996	102.944	19.989	3.389	0.243
59.500	116.139	79.993	19.996	102.944	19.988	3.448	0.270
60.000	116.285	79.994	19.996	102.944	19.986	3.588	0.305
60.500	116.369	79.994	19.996	102.946	19.989	3.415	0.275
61.000	116.515	79.994	19.996	102.947	19.987	3.547	0.230
61.500	116.680	79.994	19.996	102.947	19.988	3.493	0.271
62.000	116.824	79.994	19.995	102.946	19.988	3.457	0.310
62.500	116.987	79.993	19.996	102.951	19.988	3.503	0.308
63.000	117.103	79.994	19.996	102.955	19.985	3.706	0.293
63.500	117.259	79.993	19.997	102.956	19.983	3.796	0.275
64.000	117.424	79.992	19.996	102.962	19.987	3.573	0.296
64.500	117.555	79.994	19.997	102.964	19.984	3.725	0.309
65.000	117.706	79.994	19.995	102.963	19.986	3.587	0.289
65.500	117.856	79.994	19.996	102.963	19.982	3.862	0.292
66.000	118.033	79.993	19.996	102.965	19.986	3.640	0.314
66.500	118.171	79.993	19.996	102.965	19.990	3.355	0.321
67.000	118.332	79.993	19.996	102.971	19.983	3.805	0.307
67.500	118.465	79.993	19.996	102.973	19.983	3.803	0.297
68.000	118.652	79.994	19.996	102.974	19.984	3.769	0.308
68.500	118.812	79.994	19.996	102.975	19.983	3.830	0.334
69.000	119.009	79.993	19.996	102.977	19.982	3.864	0.352
69.500	119.163	79.994	19.996	102.977	19.982	3.881	0.354
70.000	119.312	79.994	19.996	102.977	19.983	3.824	0.327
70.500	119.464	79.994	19.996	102.978	19.982	3.898	0.302
71.000	119.638	79.994	19.996	102.979	19.981	3.940	0.314
71.500	119.822	79.993	19.996	102.980	19.982	3.908	0.342
72.000	119.976	79.994	19.996	102.981	19.983	3.832	0.348
72.500	120.144	79.993	19.996	102.981	19.984	3.765	0.330
73.000	120.301	79.994	19.996	102.979	19.983	3.845	0.323
73.500	120.500	79.995	19.996	102.979	19.981	3.959	0.340
74.000	120.652	79.992	19.997	102.978	19.982	3.902	0.353
74.500	120.858	79.995	19.996	102.977	19.982	3.894	0.355
75.000	121.003	79.995	19.996	102.977	19.981	3.950	0.354
75.500	121.211	79.994	19.997	102.978	19.981	3.946	0.352
76.000	121.429	79.993	19.996	102.982	19.980	4.028	0.390
76.500	121.552	79.993	19.997	102.983	19.982	3.858	0.384
77.000	121.738	79.993	19.996	102.983	19.981	3.946	0.325
77.500	121.910	79.993	19.995	102.983	19.979	4.113	0.334
78.000	122.155	79.993	19.995	102.982	19.980	4.010	0.387
78.500	122.305	79.994	19.994	102.977	19.980	4.022	0.406
79.000	122.531	79.993	19.997	102.976	19.981	3.963	0.385
79.500	122.682	79.994	19.996	102.975	19.977	4.233	0.377
80.000	122.878	79.994	19.996	102.975	19.976	4.330	0.362
80.500	123.100	79.994	19.996	102.975	19.978	4.165	0.382
81.000	123.294	79.994	19.996	102.976	19.977	4.235	0.417
81.500	123.462	79.994	19.995	102.978	19.977	4.247	0.389
82.000	123.666	79.994	19.996	102.979	19.978	4.142	0.367
82.500	123.864	79.993	19.996	102.979	19.977	4.262	0.388
83.000	124.054	79.994	19.996	102.980	19.978	4.176	0.395
83.500	124.243	79.991	19.996	102.980	19.977	4.231	0.383
84.000	124.420	79.993	19.996	102.978	19.977	4.237	0.372
84.500	124.595	79.992	19.997	102.978	19.979	4.113	0.359
85.001	124.781	79.993	19.997	102.977	19.978	4.178	0.357
85.501	124.994	79.993	19.997	102.976	19.980	4.007	0.380
86.000	125.212	79.993	19.996	102.976	19.975	4.405	0.415
86.500	125.417	79.991	19.997	102.976	19.975	4.392	0.427
87.000	125.623	79.993	19.996	102.978	19.978	4.203	0.417
87.500	125.787	79.992	19.997	102.979	19.980	4.059	0.391
88.000	126.021	79.991	19.997	102.979	19.978	4.144	0.384
88.500	126.223	79.992	19.996	102.979	19.975	4.376	0.417
89.000	126.418	79.993	19.996	102.979	19.974	4.468	0.417
89.501	126.648	79.993	19.996	102.979	19.974	4.454	0.411
90.001	126.829	79.992	19.996	102.979	19.973	4.500	0.418
90.500	127.051	79.994	19.996	102.979	19.978	4.161	0.407
91.000	127.256	79.992	19.997	102.983	19.975	4.382	0.415
91.500	127.478	79.991	19.996	102.985	19.975	4.346	0.427
92.000	127.657	79.994	19.996	102.985	19.977	4.222	0.414
92.500	127.890	79.993	19.996	102.986	19.977	4.224	0.407
93.000	128.108	79.992	19.996	102.986	19.975	4.355	0.431
93.501	128.299	79.995	19.996	102.983	19.974	4.444	0.430
94.001	128.526	79.993	19.996	102.983	19.972	4.602	0.414
94.500	128.724	79.993	19.996	102.983	19.971	4.636	0.422
95.001	128.943	79.994	19.996	102.982	19.972	4.597	0.421
95.501	129.133	79.994	19.995	102.982	19.972	4.568	0.413
96.000	129.396	79.996	19.995	102.984	19.972	4.603	0.431
96.500	129.574	79.994	19.995	102.988	19.973	4.502	0.447
97.000	129.803	79.997	19.995	102.994	19.971	4.669	0.424
97.500	130.019	79.995	19.994	102.997	19.973	4.488	0.426
98.000	130.261	79.996	19.995	103.001	19.973	4.538	0.451
98.500	130.467	79.995	19.995	102.999	19.974	4.425	0.453
99.000	130.699	79.994	19.996	102.995	19.971	4.625	0.443
99.500	130.930	79.994	19.996	102.993	19.973	4.540	0.450
100.000	131.153	79.995	19.995	102.996	19.976	4.291	0.459
100.500	131.371	79.996	19.995	102.996	19.972	4.618	0.448
101.000	131.611	79.994	19.995	102.996	19.970	4.700	0.449
101.500	131.808	79.996	19.994	102.996	19.972	4.594	0.447
102.000	132.074	79.995	19.994	102.994	19.969	4.797	0.450
102.500	132.285	79.995	19.995	102.990	19.970	4.700	0.470
103.001	132.529	79.994	19.994	102.989	19.969	4.770	0.466
103.501	132.714	79.994	19.995	102.988	19.971	4.675	0.442
104.000	132.943	79.994	19.996	102.987	19.973	4.534	0.421
104.500	133.188	79.994	19.994	102.986	19.969	4.800	0.444
105.001	133.430	79.994	19.995	102.984	19.968	4.876	0.481
105.501	133.683	79.994	19.995	102.985	19.970	4.693	0.491
106.000	133.937	79.994	19.995	102.989	19.970	4.749	0.501
106.500	134.141	79.995	19.995	102.994	19.970	4.737	0.483
