0,1
#EXPORTTYPE:                 ,DATA COMPARE                                    
#FILE:                       ,EIFS_XPS_STA_N2_30K_230901_R1.ngb-ss3           
#FORMAT:                     ,NETZSCH5                                        
#FTYPE:                      ,ANSI                                            
#IDENTITY:                   ,EIFS_XPS_30K_1                                  
#DECIMAL:                    ,POINT                                           
#SEPARATOR:                  ,COMMA                                           
#MTYPE:                      ,DSC                                             
#INSTRUMENT:                 ,NETZSCH STA 449F3                               
#PROJECT:                    ,NIJ 2019                                        
#DATE/TIME:                  ,9/1/2023 08:06:42 (UTC-4)                       
#CORR. FILE:                 ,                                                
#TEMPCAL:                    ,TCALZERO.TCX                                    
#SENSITIVITY:                ,SENSZERO.EXX                                    
#LABORATORY:                 ,UL FSRI                                         
#OPERATOR:                   ,Mark                                            
#REMARK:                     ,EIFS Foam component - extruded polystyrene (XPS)
#SAMPLE:                     ,EIFS_XPS_30K_1                                  
#SAMPLE MASS /mg:            ,3.99                                            
#MATERIAL:                   ,EIFS_XPS                                        
#REFERENCE:                  ,                                                
#REFERENCE MASS /mg:         ,0                                               
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,0                                               
#REFERENCE CRUCIBLE MASS /mg:,246.46                                          
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                            
#TG RANGE /mg:               ,35000                                           
#TAU-R:                      ,---                                             
#CORR. CODE:                 ,000                                             
#EXO:                        ,-1                                              
#RANGE:                      ,40°C....700°C/0.0....30.0K/min                  
#SEGMENT:                    ,S1-3/3                                          
#SEG. 1:                     ,40°C/00:10/40°C                                 
#SEG. 2:                     ,40°C/30.0(K/min)/700°C                          
#SEG. 3:                     ,700°C/00:05/700°C                               
