0,1
#EXPORTTYPE:                 ,DATA COMPARE                           
#FILE:                       ,Rebond_Pad_STA_N2_10K_221017_R2.ngb-ss3
#FORMAT:                     ,NETZSCH5                               
#FTYPE:                      ,ANSI                                   
#IDENTITY:                   ,sample_10K_2                           
#DECIMAL:                    ,POINT                                  
#SEPARATOR:                  ,COMMA                                  
#MTYPE:                      ,DSC                                    
#INSTRUMENT:                 ,NETZSCH STA 449F3                      
#PROJECT:                    ,NIJ 2019                               
#DATE/TIME:                  ,10/17/2022 11:24:03 (UTC-4)            
#CORR. FILE:                 ,                                       
#TEMPCAL:                    ,22-08-2022 19:26                       
#SENSITIVITY:                ,22-08-2022 19:30                       
#LABORATORY:                 ,UL FSRI                                
#OPERATOR:                   ,Malhar                                 
#REMARK:                     ,Memory Foam Carpet Pad                 
#SAMPLE:                     ,sample_10K_2                           
#SAMPLE MASS /mg:            ,4.08                                   
#MATERIAL:                   ,Memory Foam Pad                        
#REFERENCE:                  ,                                       
#REFERENCE MASS /mg:         ,0                                      
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,239.04                                 
#REFERENCE CRUCIBLE MASS /mg:,0                                      
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                   
#TG RANGE /mg:               ,35000                                  
#TAU-R:                      ,---                                    
#CORR. CODE:                 ,000                                    
#EXO:                        ,-1                                     
#RANGE:                      ,50°C....600°C/0.0....10.0K/min         
#SEGMENT:                    ,S1-3/3                                 
#SEG. 1:                     ,50°C/00:10/50°C                        
#SEG. 2:                     ,50°C/10.0(K/min)/600°C                 
#SEG. 3:                     ,600°C/00:05/600°C                      
