0,1
#EXPORTTYPE:                 ,DATA COMPARE                        
#FILE:                       ,Rug_Pad_STA_N2_10K_221025_R1.ngb-ss3
#FORMAT:                     ,NETZSCH5                            
#FTYPE:                      ,ANSI                                
#IDENTITY:                   ,Rug_pad_10K_1                       
#DECIMAL:                    ,POINT                               
#SEPARATOR:                  ,COMMA                               
#MTYPE:                      ,DSC                                 
#INSTRUMENT:                 ,NETZSCH STA 449F3                   
#PROJECT:                    ,NIJ 2019                            
#DATE/TIME:                  ,10/25/2022 08:22:50 (UTC-4)         
#CORR. FILE:                 ,                                    
#TEMPCAL:                    ,22-08-2022 19:26                    
#SENSITIVITY:                ,22-08-2022 19:30                    
#LABORATORY:                 ,UL FSRI                             
#OPERATOR:                   ,Mark                                
#REMARK:                     ,Rug Pad                             
#SAMPLE:                     ,Rug_pad_10K_1                       
#SAMPLE MASS /mg:            ,3.97                                
#MATERIAL:                   ,Rug pad                             
#REFERENCE:                  ,                                    
#REFERENCE MASS /mg:         ,0                                   
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,238.98                              
#REFERENCE CRUCIBLE MASS /mg:,0                                   
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                
#TG RANGE /mg:               ,35000                               
#TAU-R:                      ,---                                 
#CORR. CODE:                 ,000                                 
#EXO:                        ,-1                                  
#RANGE:                      ,50°C....750°C/0.0....10.0K/min      
#SEGMENT:                    ,S1-3/3                              
#SEG. 1:                     ,50°C/00:10/50°C                     
#SEG. 2:                     ,50°C/10.0(K/min)/750°C              
#SEG. 3:                     ,750°C/00:05/750°C                   
