LABORATORY,FSRI 
TEST IDENT,Dekalb_XPS_HF50_R2
OPERATOR,Marino
MATERIAL,Dekalb_XPS
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03883075341582298
SPEC HOLDER DIFF,-566
SPECIMEN MASS,3.119999885559082
SCAN TIME,0.25
O2 DELAY TIME,9
CO DELAY TIME,8
CO2 DELAY TIME,7
FLOW FACTOR,1
SCAN COUNT,754
TIME TO IGN,21.25
END OF TEST SCAN,274
END OF TEST TIME,68.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.08 x 100.30 x 20.82 mm;
POST TEST CMT,"When heat was applied the sample shriveled and melted into a pool increasing distance between itself and the cone heater, and reducing its surface area. The sample burned with a sooty flame."
