0,1
#EXPORTTYPE:                 ,DATA COMPARE                        
#FILE:                       ,Basswood_STA_N2_3K_220314_R1.ngb-ss3
#FORMAT:                     ,NETZSCH5                            
#FTYPE:                      ,ANSI                                
#IDENTITY:                   ,Basswoodl_3_1                       
#DECIMAL:                    ,POINT                               
#SEPARATOR:                  ,COMMA                               
#MTYPE:                      ,DSC                                 
#INSTRUMENT:                 ,NETZSCH STA 449F3                   
#PROJECT:                    ,NIJ 2019                            
#DATE/TIME:                  ,3/14/2022 20:50:03 (UTC-4)          
#CORR. FILE:                 ,                                    
#TEMPCAL:                    ,11-02-2022 07:02                    
#SENSITIVITY:                ,11-02-2022 06:32                    
#LABORATORY:                 ,UL FSRI                             
#OPERATOR:                   ,Mark                                
#REMARK:                     ,                                    
#SAMPLE:                     ,Basswoodl_3_1                       
#SAMPLE MASS /mg:            ,4.04                                
#MATERIAL:                   ,Basswood                            
#REFERENCE:                  ,                                    
#REFERENCE MASS /mg:         ,0                                   
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,0                                   
#REFERENCE CRUCIBLE MASS /mg:,0                                   
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                
#TG RANGE /mg:               ,35000                               
#TAU-R:                      ,---                                 
#CORR. CODE:                 ,000                                 
#EXO:                        ,-1                                  
#RANGE:                      ,50°C....750°C/0.0....3.0K/min       
#SEGMENT:                    ,S1-3/3                              
#SEG. 1:                     ,50°C/00:10/50°C                     
#SEG. 2:                     ,50°C/3.0(K/min)/750°C               
#SEG. 3:                     ,750°C/00:05/750°C                   
