LABORATORY,FSRI 
TEST IDENT,Window_Screen_75_2
OPERATOR,Dow
MATERIAL,Window Screen
ORIENTATION,Horizontal
HEAT FLUX,35
SURF AREA,0.00884
C FACTOR,0.041957177221775055
SPEC HOLDER DIFF,-566
SPECIMEN MASS,0.9399999976158142
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,510
TIME TO IGN,0.75
END OF TEST SCAN,30
END OF TEST TIME,7.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 102 x 102 x 0.22 mm; with frame; with calcium silicate substrate
POST TEST CMT,"Flame extinguished before software acknowledged ""flame verify"". "
