0,1
#EXPORTTYPE:                 ,DATA COMPARE                          
#FILE:                       ,Air_Fryer_STA_N2_10K_221116_R3.ngb-ss3
#FORMAT:                     ,NETZSCH5                              
#FTYPE:                      ,ANSI                                  
#IDENTITY:                   ,Sample_10K_3                          
#DECIMAL:                    ,POINT                                 
#SEPARATOR:                  ,COMMA                                 
#MTYPE:                      ,DSC                                   
#INSTRUMENT:                 ,NETZSCH STA 449F3                     
#PROJECT:                    ,NIJ 2019                              
#DATE/TIME:                  ,11/16/2022 10:27:41 (UTC-5)           
#CORR. FILE:                 ,                                      
#TEMPCAL:                    ,22-08-2022 19:26                      
#SENSITIVITY:                ,22-08-2022 19:30                      
#LABORATORY:                 ,UL FSRI                               
#OPERATOR:                   ,Grayson                               
#REMARK:                     ,Air Fryer                             
#SAMPLE:                     ,Sample_10K_3                          
#SAMPLE MASS /mg:            ,4.07                                  
#MATERIAL:                   ,Air Fryer                             
#REFERENCE:                  ,                                      
#REFERENCE MASS /mg:         ,0                                     
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,239                                   
#REFERENCE CRUCIBLE MASS /mg:,0                                     
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                  
#TG RANGE /mg:               ,35000                                 
#TAU-R:                      ,---                                   
#CORR. CODE:                 ,000                                   
#EXO:                        ,-1                                    
#RANGE:                      ,50°C....550°C/0.0....10.0K/min        
#SEGMENT:                    ,S1-3/3                                
#SEG. 1:                     ,50°C/00:10/50°C                       
#SEG. 2:                     ,50°C/10.0(K/min)/550°C                
#SEG. 3:                     ,550°C/00:05/550°C                     
