LABORATORY,FSRI 
TEST IDENT,Stack_HF75_2
OPERATOR,Dow
MATERIAL,"1"" PUF, 1.75"" PE Batting, PE Fabric"
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.03860524669289589
SPEC HOLDER DIFF,-96.92001342773438
SPECIMEN MASS,15.770000457763672
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,774
TIME TO IGN,10.75
END OF TEST SCAN,294
END OF TEST TIME,73.5
TEST STATUS,1
PRE TEST CMT,"Sample is an assembly of approximately 1 inch polyurethane foam, topped by 1.75 inch polyester batting, topped by polyester fabric."
POST TEST CMT,"The fabric shrivelled upon heating and impacted the spark ignitor causing a spike in the mass time history data. The sample then retracted away from the spark ignitor prior to ignition due to further pyrolysis and melting of the materials."
