Sample ID:	C:\MCC\MCC Cal\Test\Rebond_Foam_Carpet_Pad_MCC_30K_min_211101_R1.txt
Sample Weight (mg):	4.62
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	107.080	80.000	19.996	102.958	20.401	0.202	0.001
0.500	107.071	80.000	19.995	102.954	20.402	0.132	0.003
1.000	107.057	80.000	19.994	102.955	20.399	0.376	-0.013
1.500	107.116	80.000	19.993	102.956	20.402	0.130	0.011
2.000	107.100	80.000	19.995	102.956	20.401	0.237	0.044
2.500	107.074	80.001	19.996	102.956	20.399	0.353	0.001
3.000	107.065	80.001	19.995	102.959	20.397	0.464	-0.038
3.500	107.070	80.001	19.993	102.959	20.401	0.178	-0.019
4.000	107.054	80.000	19.995	102.959	20.400	0.261	-0.007
4.500	107.098	80.001	19.996	102.959	20.400	0.244	0.009
5.000	107.125	80.000	19.997	102.960	20.403	0.044	0.049
5.500	107.095	79.999	19.996	102.961	20.403	0.086	0.033
6.000	107.101	80.000	19.991	102.961	20.401	0.181	-0.013
6.500	107.100	80.002	19.995	102.961	20.402	0.116	-0.009
7.000	107.104	80.001	19.994	102.959	20.399	0.336	0.004
7.500	107.095	80.001	19.995	102.958	20.403	0.032	-0.001
8.000	107.100	80.002	19.994	102.957	20.400	0.263	-0.005
8.500	107.099	80.001	19.996	102.957	20.399	0.368	0.000
9.000	107.086	80.000	19.994	102.956	20.402	0.139	-0.004
9.500	107.061	80.001	19.994	102.956	20.401	0.191	-0.026
10.000	107.060	80.001	19.995	102.955	20.402	0.128	-0.032
10.500	107.097	80.001	19.995	102.955	20.400	0.275	0.005
11.001	107.072	80.001	19.995	102.954	20.401	0.176	0.024
11.501	107.091	80.001	19.996	102.954	20.401	0.197	0.003
12.001	107.075	80.001	19.996	102.956	20.405	-0.052	-0.002
12.501	107.088	80.001	19.996	102.960	20.402	0.128	-0.000
13.000	107.042	80.002	19.996	102.962	20.399	0.325	-0.018
13.500	107.057	80.002	19.996	102.964	20.400	0.256	-0.032
14.000	107.083	80.000	19.995	102.965	20.404	0.008	0.005
14.500	107.044	80.002	19.996	102.966	20.401	0.183	0.014
15.000	107.043	80.001	19.994	102.968	20.400	0.241	-0.026
15.500	107.057	80.000	19.996	102.974	20.399	0.376	-0.014
16.000	107.037	80.001	19.996	102.980	20.399	0.311	0.003
16.500	107.044	80.001	19.993	102.987	20.401	0.202	-0.009
17.000	107.037	80.000	19.996	102.992	20.401	0.189	-0.007
17.500	107.029	80.003	19.996	102.991	20.397	0.449	-0.008
18.000	107.019	80.001	19.994	102.989	20.398	0.390	-0.016
18.500	107.057	80.001	19.995	102.989	20.400	0.298	0.005
19.000	107.053	80.002	19.994	102.989	20.395	0.629	0.031
19.500	107.053	80.001	19.997	102.992	20.394	0.673	0.015
20.000	107.075	80.000	19.995	102.994	20.396	0.556	0.009
20.500	107.095	80.001	19.996	102.996	20.393	0.738	0.032
21.000	107.073	80.001	19.996	103.001	20.396	0.564	0.020
21.500	107.079	80.000	19.996	103.004	20.393	0.784	-0.009
22.000	107.093	80.000	19.992	103.001	20.393	0.757	0.002
22.500	107.122	79.999	19.995	103.004	20.393	0.753	0.032
23.000	107.124	80.001	19.997	103.012	20.388	1.111	0.037
23.500	107.141	80.001	19.995	103.013	20.392	0.864	0.025
24.000	107.142	80.002	19.996	103.014	20.392	0.822	0.019
24.500	107.155	80.001	19.996	103.020	20.390	1.004	0.016
25.000	107.163	80.001	19.997	103.025	20.389	1.017	0.017
25.500	107.170	80.001	19.995	103.025	20.385	1.309	0.019
26.000	107.243	80.001	19.995	103.025	20.386	1.229	0.047
26.500	107.179	80.001	19.996	103.031	20.388	1.086	0.044
27.000	107.226	80.002	19.994	103.039	20.386	1.245	-0.004
27.500	107.263	80.001	19.994	103.047	20.384	1.392	0.033
28.000	107.242	80.001	19.996	103.049	20.385	1.296	0.050
28.500	107.252	80.001	19.995	103.056	20.384	1.409	0.002
29.000	107.280	80.001	19.996	103.063	20.385	1.298	0.014
29.500	107.316	80.001	19.995	103.071	20.380	1.679	0.051
30.000	107.382	80.003	19.995	103.079	20.382	1.526	0.083
30.500	107.366	80.003	19.996	103.092	20.381	1.606	0.076
31.000	107.373	80.000	19.996	103.104	20.379	1.715	0.021
31.500	107.394	80.000	19.993	103.114	20.378	1.835	0.010
32.000	107.437	80.000	19.995	103.121	20.378	1.820	0.046
32.501	107.465	80.001	19.994	103.128	20.377	1.858	0.067
33.001	107.524	80.001	19.995	103.133	20.378	1.811	0.079
33.500	107.528	80.002	19.996	103.132	20.374	2.103	0.075
34.000	107.561	80.002	19.995	103.132	20.374	2.054	0.050
34.500	107.594	80.002	19.996	103.130	20.378	1.790	0.052
35.000	107.666	80.001	19.998	103.123	20.375	2.012	0.086
35.500	107.738	80.003	19.993	103.119	20.376	1.935	0.124
36.000	107.754	80.000	19.994	103.119	20.375	2.037	0.116
36.500	107.828	80.001	19.994	103.121	20.376	1.968	0.089
37.000	107.882	80.001	19.996	103.125	20.370	2.337	0.109
37.500	107.882	80.002	19.995	103.132	20.376	1.955	0.091
38.000	107.961	80.003	19.996	103.140	20.377	1.884	0.066
38.500	108.037	80.002	19.995	103.147	20.372	2.219	0.117
39.001	108.069	80.002	19.996	103.150	20.375	2.046	0.131
39.501	108.112	80.001	19.995	103.150	20.371	2.278	0.091
40.001	108.195	80.002	19.995	103.148	20.371	2.278	0.100
40.500	108.256	80.003	19.994	103.146	20.369	2.404	0.135
41.000	108.321	80.004	19.995	103.145	20.372	2.241	0.135
41.500	108.390	80.002	19.993	103.142	20.373	2.155	0.130
42.000	108.440	80.003	19.993	103.137	20.373	2.153	0.127
42.500	108.505	80.004	19.995	103.139	20.371	2.297	0.117
43.000	108.578	80.003	19.995	103.141	20.371	2.284	0.126
43.500	108.685	80.003	19.996	103.143	20.373	2.135	0.159
44.000	108.708	80.004	19.994	103.148	20.367	2.588	0.155
44.500	108.791	80.001	19.996	103.153	20.369	2.460	0.118
45.000	108.841	80.003	19.994	103.154	20.369	2.456	0.119
45.500	108.938	80.002	19.995	103.154	20.369	2.422	0.140
46.000	109.017	80.002	19.995	103.154	20.370	2.374	0.162
46.500	109.064	80.002	19.995	103.153	20.368	2.508	0.151
47.000	109.199	80.003	19.996	103.158	20.370	2.389	0.154
47.500	109.288	80.003	19.996	103.165	20.370	2.383	0.203
48.000	109.317	80.002	19.994	103.168	20.369	2.412	0.171
48.501	109.399	80.004	19.995	103.172	20.366	2.627	0.114
49.001	109.513	80.003	19.995	103.175	20.368	2.508	0.154
49.500	109.616	80.002	19.995	103.175	20.368	2.495	0.207
50.000	109.689	80.003	19.994	103.170	20.366	2.613	0.197
50.500	109.788	80.002	19.994	103.170	20.364	2.795	0.174
51.001	109.856	80.002	19.995	103.167	20.368	2.533	0.170
51.501	109.929	80.002	19.993	103.167	20.365	2.722	0.154
52.000	110.070	80.002	19.995	103.164	20.369	2.445	0.177
52.500	110.163	80.002	19.995	103.166	20.364	2.751	0.223
53.000	110.218	80.002	19.994	103.169	20.366	2.653	0.191
53.500	110.325	80.001	19.994	103.175	20.362	2.934	0.155
54.000	110.429	80.002	19.995	103.180	20.362	2.892	0.186
54.500	110.546	80.002	19.995	103.186	20.362	2.908	0.216
55.000	110.643	80.001	19.995	103.187	20.362	2.898	0.218
55.500	110.767	80.003	19.995	103.186	20.361	2.982	0.218
56.000	110.838	80.002	19.994	103.185	20.361	2.992	0.208
56.500	110.947	80.002	19.995	103.184	20.362	2.893	0.187
57.000	111.040	80.003	19.994	103.183	20.359	3.126	0.191
57.500	111.172	80.002	19.996	103.183	20.359	3.155	0.213
58.000	111.254	80.001	19.996	103.186	20.359	3.163	0.219
58.500	111.348	80.002	19.995	103.191	20.360	3.059	0.196
59.000	111.466	80.002	19.992	103.196	20.355	3.377	0.194
59.500	111.602	80.001	19.995	103.199	20.361	2.977	0.232
60.000	111.746	80.001	19.995	103.202	20.357	3.249	0.267
60.500	111.884	80.002	19.994	103.200	20.359	3.166	0.281
61.000	112.018	80.003	19.994	103.196	20.360	3.032	0.277
61.501	112.109	80.001	19.994	103.192	20.360	3.036	0.249
62.001	112.227	80.002	19.994	103.193	20.359	3.107	0.217
62.501	112.321	80.003	19.994	103.193	20.360	3.054	0.210
